id,album,artist,title,2024-09-29
35124,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","Facing The Future",
35125,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","The Red Star Falls",
35126,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","Yearning Hope",
35127,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","Little Green Hero",
35128,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","Changing History",
3513,"Ratchet & Clank: Going Commando","David Bergeaud","Hoverbike Race",
35130,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","Friends In The Brink",
35131,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","The Deep Beckons",
35132,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","Joints Of Metal",
35133,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","Onward To Adventure",
35134,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","Enlightenment",
35135,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","Dreams Of The Virtuous",
35136,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","Times Are Changing",
35137,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","Echoes Of The Past",
35138,"Fallen Hero","Ro Panuganti","Metal Crusher",
3514,"Ratchet & Clank: Going Commando","David Bergeaud","Finding The Crystals",
35140,"Fallen Hero","Ro Panuganti","Once Upon a Time",
35141,"Fallen Hero","Ro Panuganti","Battle Against a True Hero",
35142,"Fallen Hero","Ro Panuganti","Home",
35144,"Fallen Hero","Ro Panuganti","Hopes and Dreams",991
35145,"Fallen Hero","Ro Panuganti","Run!",
35146,"Fallen Hero","Ro Panuganti","Enemy Approaching",
35147,"Fallen Hero","Ro Panuganti","Spider Dance",
35148,"Fallen Hero","Ro Panuganti","ASGORE",
3515,"Ratchet & Clank: Going Commando","David Bergeaud","Back To The Flying Lab",
35150,"Fallen Hero","Ro Panuganti","Ghost Fight",991
35152,"Fallen Hero","Ro Panuganti","Another Medium",
35154,"Fallen Hero","Ro Panuganti","MEGALOVANIA",
35155,"Fallen Hero","Ro Panuganti","Bergentrückung",
35156,"Fallen Hero","Ro Panuganti","Bonetrousle",991
35157,"Fallen Hero","Ro Panuganti","Heartache",
35158,"Fallen Hero","Ro Panuganti","Oh! One True Love",
3516,"Ratchet & Clank: Going Commando","David Bergeaud","The Frozen Base",
35160,"Fallen Hero","Ro Panuganti","Dogsong",
35163,"The K.K. Sessions (Animal Crossing EP)","The 8-Bit Big Band","K.K. Moody",
35164,"The K.K. Sessions (Animal Crossing EP)","The 8-Bit Big Band","Bubblegum K.K.",
35165,"The K.K. Sessions (Animal Crossing EP)","The 8-Bit Big Band","K.K. Jazz",
35166,"The K.K. Sessions (Animal Crossing EP)","The 8-Bit Big Band","K.K. Disco",
35167,"The K.K. Sessions (Animal Crossing EP)","The 8-Bit Big Band","K.K. Bossa",
35168,"Kirby's Block Ball","wazkatango","Boss (Sega Genesis Remix)",
35169,"The Evolutioning","Rare Candy","Castlevania",
3517,"Ratchet & Clank: Going Commando","David Bergeaud","Silver City",
35170,"The Evolutioning","Rare Candy","Turtles",
35171,"The Evolutioning","Rare Candy","Gradius",
35172,"The Evolutioning","Rare Candy","Pokémon",1018
35173,"The Evolutioning","Rare Candy","Zelda",
35175,"Super Mario 64","GrooveCube","File Select (Super Mario 64 GrooveCube Remix)",
35177,"Super 3D Noah's Ark","thebitterroost","For Sacrifice",
35179,"Final Fantasy VII","Infinity Tone","When the Planet Fights Back",
3518,"Ratchet & Clank: Going Commando","David Bergeaud","Surfing the Train Cables",
35180,"Sonic & Knuckles","GlacialSpoon","Egg Death Machine",
35182,"Pokémon Diamond/Pearl/Platinum","AlmightyArceus","EEVEE used Swift!",
35183,"Alchemy of Sounds ~Atelier Arranged Tracks~","Hayato Asano","Spring Wind Skylark ~Alchemy of Sounds Ver.~",
35184,"Alchemy of Sounds ~Atelier Arranged Tracks~","Hayato Asano","Wind Banquet ~Alchemy of Sounds Ver.~",
35185,"Alchemy of Sounds ~Atelier Arranged Tracks~","Hayato Asano","Ghost Girl ~Alchemy of Sounds Ver.~",
35186,"Alchemy of Sounds ~Atelier Arranged Tracks~","Hayato Asano","Handball ~Alchemy of Sounds Ver.~",
35187,"Alchemy of Sounds ~Atelier Arranged Tracks~","Hayato Asano","The Distant Summit ~Alchemy of Sounds Ver.~",991
35188,"Alchemy of Sounds ~Atelier Arranged Tracks~","Hayato Asano","Full-Bokko ~Alchemy of Sounds Ver.~",
35189,"Alchemy of Sounds ~Atelier Arranged Tracks~","Hayato Asano","I'm Working Right Now! ~Alchemy of Sounds Ver.~",
3519,"Ratchet & Clank: Going Commando","David Bergeaud","Megacorps Outlet",
